# Encore clue bank — the LONG half. WORD|clue, one per line.
#
# Encore is the 9x9 weekday / 11x11 Sunday crossword, so it needs entry lengths
# the mini never used. This file carries 6, 8 and 9 letters; the 3, 4, 5 and 7
# letter entries come from scripts/emcee-wordbank.txt, which the generator reads
# alongside this one. Same hard rule as that file: EVERY CLUE IS HAND-WRITTEN
# AND CLUES ITS OWN ANSWER. Never generate a clue from a dictionary or WordNet
# gloss — a gloss defines a whole synonym set, so it reliably clues the wrong
# word, which is exactly the failure that forced the Emcee bank rebuild in
# August 2026. Everyday words only: no obscurities, no crosswordese.
#
# ── 6 letters ──────────────────────────────────────────────────────────────
ABSURD|Plainly ridiculous
GUARDRAIL|Highway barrier
GUIDEBOOK|Traveler's companion
GUIDELINE|Rule of thumb
GYMNASIUM|Where the ropes hang
HAIRBRUSH|Bathroom groomer
HALLOWEEN|Costume night
HAMBURGER|Bun and patty
HANDIWORK|Your own doing
HANDSHAKE|Deal closer
HAPPENING|Going on
HAPPINESS|What money can't buy
HARDSHIPS|Rough patches
HARMONICA|Pocket mouth organ
HARVESTED|Brought in from the field
HEADACHES|Aspirin calls
HEADLIGHT|Front beam
HEADLINES|Front page banners
HEADPHONE|Ear speaker
HEADSTONE|Grave marker
HEARTBEAT|Pulse
HERITAGES|Things handed down
HESITATED|Held back a moment
HIBERNATE|Sleep the winter through
HIGHLIGHT|The best bit
HIGHLANDS|Uplands
HISTORIAN|One who writes the past
HISTORIES|Accounts of the past
HOLIDAYED|Took the time off
HOMEOWNER|Mortgage payer
HOMESTEAD|Farm and house
HONEYCOMB|Hive's hexagons
HONEYMOON|After the wedding
HOOLIGANS|Rowdy troublemakers
HOSPITALS|Where the wards are
HOUSEHOLD|Everyone under the roof
HOUSEWORK|Dusting and hoovering
HUNDREDTH|After ninety-ninth
HURRICANE|Named tropical storm
HUSBANDRY|Farm management
HYDRANTS|Firefighters' taps
IDENTICAL|Exactly the same
IGNORANCE|Bliss, they say
ILLNESSES|Ailments
ILLUSIONS|Magician's stock in trade
IMAGINARY|Only in the mind
IMAGINING|Picturing it
IMITATION|A copy
IMMEDIATE|Right now
IMMIGRANT|One who comes to stay
IMPATIENT|Tapping the foot
IMPORTANT|It really matters
IMPORTING|Bringing in from abroad
IMPRESSED|Really taken with it
IMPROVING|Getting better
IMPULSIVE|Acting without thinking
INCLUDING|Along with
INCORRECT|Just wrong
INCREASED|Went up
INDICATED|Pointed to it
INDICATOR|Turn signal
INFECTION|What the antibiotic fights
INFLATION|Prices going up
INFLUENCE|Sway
INFORMING|Telling them
INHERITED|Got it from the family
INITIALLY|At the start
INJECTION|Jab
INNOCENCE|Not guilty state
INSISTENT|Not letting it drop
INSPECTED|Gave it a going over
INSPECTOR|Gadget, in a cartoon title
INSPIRING|Really lifting
INSTALLED|Fitted in place
INSTANCES|Cases in point
INSTINCTS|Gut feelings
INSTITUTE|Research body
INSULATED|Lagged against the cold
INSURANCE|Policy you hope not to use
INTEGRITY|Being straight through and through
INTENSITY|How fierce it is
INTENTION|What you meant to do
INTERFERE|Stick your oar in
INTERIORS|The insides
INTERPRET|Put it into other words
INTERRUPT|Cut in
INTERVALS|Gaps between
INTERVIEW|Job chat
INTRODUCE|Make them known to each other
INVASIONS|Border crossings by force
INVENTING|Coming up with it
INVENTION|The new idea made real
INVENTORS|Patent seekers
INVENTORY|Stock count
INVESTING|Putting the money in
INVISIBLE|You can't see it
ISOLATION|On your own entirely
JOURNEYED|Travelled far
JUDGMENTS|The verdicts
KANGAROOS|Outback hoppers
KEYBOARDS|Typing surfaces
KNOWLEDGE|What you know
LAKEFRONT|Water's edge property
LANDLORDS|Rent collectors
LANDMARKS|Notable sights
LANDSCAPE|Painting of the countryside
LANDSLIDE|Big election win, or a hillside collapse
LANGUAGES|Spanish and Swahili
LAUGHABLE|Not to be taken seriously
LAUNCHING|Sending it up
LAUNDRIES|Wash houses
LAWNMOWER|Saturday morning noise
LEFTOVERS|Tomorrow's lunch
LEGENDARY|The stuff of stories
LEMONADES|Summer coolers
LIBRARIAN|Keeper of the shelves
LIBRARIES|Where the books are borrowed
LIFEGUARD|Poolside watcher
LIFESTYLE|How you live
LIGHTBULB|Idea, in a cartoon
LIGHTNING|Thunder's partner
LIMESTONE|Cave rock
LISTENERS|Radio audience
LITERALLY|To the letter
LIVESTOCK|Cattle and sheep
LOGICALLY|It follows that
LOYALTIES|Where you stand
LUXURIOUS|Really rather plush
MACHINERY|The works
MAGNITUDE|The size of it
MAINTAINS|Keeps it up
MANDATORY|You have to
MANEUVERS|Tricky moves
MANHATTAN|New York borough, and a cocktail
MARATHONS|Long races
MARGARINE|Butter substitute
MARKETING|Getting the word out
MARMALADE|Orange preserve
MARRIAGES|Wedded unions
MARSHLAND|Boggy ground
MARVELOUS|Absolutely splendid
MATERIALS|What it is made of
MATRIMONY|Holy state of marriage
MEASURING|Taking the dimensions
MECHANICS|Garage staff, or how it works
MEDALLION|Big disc on a chain
MEDITATED|Sat and cleared the mind
MELODIOUS|Nice and tuneful
MEMORABLE|One to remember
MEMORIALS|Stones of remembrance
MENTIONED|Brought it up
MERCHANTS|Traders
MERRIMENT|Good cheer all round
METALLIC|Of metal
MIGRATION|The long flight south
MILESTONE|Big marker on the road
MINIATURE|Very small version
MINISTERS|Cabinet members
MISTAKING|Getting it wrong
MOLECULES|What matter is made of
MOMENTARY|Over in a flash
MONASTERY|Where the monks live
MONETARY|Of money
MONITORED|Kept an eye on
MONUMENTS|Stone landmarks
MOONLIGHT|Night's glow, or a second job
MORTGAGES|Home loans
MOTIVATED|Fired up
MOTORBIKE|Two-wheeled ride
MOUNTAINS|Alps and Andes
MOUSETRAP|Better one, proverbially
MOUTHWASH|Bathroom rinse
MOVEMENTS|Stirrings
MUSHROOMS|Fungi on the pizza
MUSICALLY|In a tuneful way
MUSICIANS|The band
MYSTERIES|Whodunits
NARRATION|Voice over the film
NARRATIVE|The story as told
NATURALLY|Of course
NAVIGATED|Found the way
NECESSARY|It has to be
NECKLACES|Pendants
NEGATIVES|Film strips, or the downsides
NEGLECTED|Left to go to ruin
NEIGHBORS|The ones next door
NEWSPAPER|Morning read
NEWSSTAND|Corner kiosk
NIGHTFALL|When it gets dark
NIGHTGOWN|Bedtime wear
NIGHTMARE|Bad dream
NORTHEAST|Between north and east
NORTHWEST|Between north and west
NOTEBOOKS|Jotters
NOURISHED|Well fed
NOVELISTS|Fiction writers
NURSERIES|Where the seedlings are
NUTRITION|What the label lists
OBEDIENCE|Doing as you are told
OBJECTION|Overruled, in court
OBJECTIVE|The goal, or unbiased
OBSERVERS|Ones watching
OBSERVING|Keeping watch
OBSESSION|What you can't stop thinking about
OBSTACLES|Things in the way
OCCASIONS|Special days
OCCUPANTS|Ones inside
OCCURRING|Happening
OFFENSIVE|Rude, or an attack
OFFERINGS|What is put forward
OFFICIALS|Ones with the whistles
ONLOOKERS|The gathered crowd
OPERATING|Running it, or in surgery
OPERATION|Surgery
OPERATORS|Switchboard staff
OPPONENTS|The other side
OPPOSITES|They attract
ORCHESTRA|Pit players
ORGANIZED|Got it all in order
ORGANIZER|The one who arranged it
ORIGINALS|The first ones
ORNAMENTS|Mantelpiece pieces
OTHERWISE|If not
OUTBREAKS|Sudden spreads
OUTNUMBER|Have more than the other side
OUTSIDERS|Not of the group
OVERBOARD|Off the side of the ship
OVERCOATS|Winter wear
OVERCOMES|Gets past it
OVERDRAFT|Bank's unwelcome facility
OVERHEARD|Caught what was said
OVERNIGHT|While you slept
OVERSIGHT|Something missed, or supervision
OVERTAKEN|Passed on the road
OVERTHROW|Topple the government
OVERWHELM|Swamp completely
PAINFULLY|With real hurt
PAINTINGS|Framed works
PARACHUTE|Jumper's canopy
PARAGRAPH|Block of text
PARALLELS|Lines that never meet
PARAMEDIC|Ambulance crew
PARENTING|Raising them
PARTNERED|Teamed up
PASSENGER|One in the back seat
PASSPORTS|Border documents
PASSWORDS|Login secrets
PATIENTLY|Without fussing
PATRIOTIC|Flag-waving
PENDULUMS|Clock swingers
PENINSULA|Land on three sides of water
PENTHOUSE|Top-floor luxury
PERCEIVED|Took it to be so
PERFECTLY|Just so
PERFORMED|Put on the show
PERFORMER|The one on stage
PERFUMED|Scented
PERIMETER|The distance round the edge
PERMANENT|Here to stay
PERMITTED|Allowed
PERSONNEL|The staff
PERSUADED|Talked round
PESTICIDE|Crop spray
PETROLEUM|Crude source
PHYSICIAN|Doctor
PICTURING|Seeing it in the mind
PINEAPPLE|Spiky tropical fruit
PIONEERED|Did it first
PITCHFORK|Hay lifter
PLANETARY|Of the planets
PLASTERED|Covered over, or the wall was
PLATFORMS|Where you board
PLAYHOUSE|Kids' little building
PLENTIFUL|In good supply
POCKETFUL|As much as it holds
POINTLESS|No use at all
POLICEMAN|Officer on the beat
POLITICAL|Of parties and elections
POLLINATE|What the bee does
PORTRAITS|Painted faces
POSSESSED|Owned, or under a spell
POSTCARDS|Holiday notes
POSTPONED|Put off till later
POTENTIAL|What it could be
POWERBOAT|Fast motor craft
PRACTICAL|Down to earth
PRACTICED|Put in the hours at it
PRECISELY|Exactly so
PREDICTED|Called it in advance
PREFERRED|Liked better
PREGNANCY|Nine months of it
PREPARING|Getting ready
PRESCRIBE|Write it on the pad
PRESENTED|Handed it over
PRESERVED|Kept as it was
PRESIDENT|Oval Office holder
PRESSURES|What weighs on you
PRESUMING|Taking it as read
PRETENDED|Made believe
PREVENTED|Stopped it happening
PRICELESS|Beyond any value
PRINCIPAL|Head of the school
PRINCIPLE|What you stand by
PRINTABLE|Fit to publish
PRISONERS|Ones behind bars
PRIVILEGE|A special right
PROCEEDED|Went on with it
PROCESSED|Put through the system
PRODUCERS|The ones who fund the film
PRODUCING|Turning it out
PROFESSOR|Head of the department
PROFITING|Coming out ahead
PROGRAMME|Show listing, in British spelling
PROLONGED|Dragged out
PROMINENT|Sticking out, or well known
PROMOTING|Talking it up
PROMOTION|Step up the ladder
PROPELLER|What spins on the nose
PROPOSALS|Plans put forward
PROSPECTS|What the future holds
PROTECTED|Kept safe
PROTECTOR|Guardian
PROTESTED|Marched against it
PROVIDING|Supplying
PROVINCES|Canadian divisions
PUBLICITY|Column inches
PUBLISHED|Put out in print
PUBLISHER|Book house
PUNCTUATE|Add the commas
PUNISHING|Really gruelling
PURCHASED|Bought
PURCHASER|The buyer
QUALIFIED|Has the papers for it
QUALITIES|Good points
QUARTERLY|Four times a year
QUESTIONS|What the exam asks
QUICKNESS|Speed of it
QUOTATION|Words in inverted commas
RADIATORS|Room heaters
RAILROADS|Track networks
RAINDROPS|They keep falling on my head
RAINSTORM|A right downpour
RASPBERRY|Jam fruit, or a rude noise
REACHABLE|You can get to it
REACTIONS|What follows
REALISTIC|True to life
REALIZING|Coming to see
REASONING|Working it through
REASSURED|Set their mind at rest
REBELLION|Rising against the crown
RECEIVING|Taking delivery
RECEPTION|Wedding party, or the front desk
RECESSION|Downturn
RECOGNIZE|Know them again
RECOMMEND|Say it is worth it
RECORDING|Studio session
RECOVERED|Got well again
RECRUITED|Signed up
RECURRING|Coming round again
RECYCLING|Blue bin day
REDUCTION|Money off
REFERENCE|A mention, or a job letter
REFERRING|Pointing to
REFLECTED|Bounced back
REFRESHED|Feeling new again
REGISTERS|Signs in
REGULARLY|Like clockwork
REGULATED|Kept in check
REHEARSAL|The night before the night
REJECTING|Turning it down
RELATIONS|Family, or how two countries get on
RELATIVES|Aunts and cousins
RELEASING|Letting go
RELENTING|Finally giving way
RELEVANCE|Whether it matters here
RELIGIONS|Faiths
RELUCTANT|Not keen at all
REMAINDER|What is left
REMAINING|Still there
REMARKING|Passing a comment
REMINDERS|Notes to self
REMOVABLE|It comes off
RENOVATED|Done up
REPAIRING|Putting it right
REPEATING|Saying it again
REPLACING|Swapping in a new one
REPORTERS|The press pack
REPORTING|Filing the story
REPRESENT|Stand for
REPUBLICS|States with no king
REPUTABLE|Of good standing
REQUESTED|Asked for
REQUIRING|Needing
RESEMBLED|Looked like
RESENTFUL|Still sore about it
RESERVOIR|Where the water is held
RESIDENCE|Where you live
RESIDENTS|The people who live there
RESIGNING|Handing in the notice
RESISTING|Holding out
RESOLVING|Sorting it out
RESOURCES|What you have to draw on
RESPECTED|Well thought of
RESPONDED|Answered
RESTORING|Bringing it back
RESTRAINT|Holding back
RESULTING|Coming from it
RETAINING|Holding on to
RETRIEVED|Fetched back
RETURNING|On the way back
REVEALING|Letting it out
REVERSING|Backing up
REVIEWING|Going over again
REVOLTING|Absolutely disgusting
REWARDING|Worth the effort
RIDICULED|Laughed at
RIGHTEOUS|Morally in the right
RIVERBANK|Where the anglers sit
ROADBLOCK|Police barrier
ROOMMATES|Ones sharing the rent
ROUGHNESS|Lack of smoothness
SACRIFICE|Give it up for something bigger
SAILBOATS|Wind-driven craft
SALESGIRL|Shop assistant
SANCTUARY|A place of safety
SANDPAPER|It smooths the wood
SANDSTONE|Soft building rock
SATISFIED|Happy enough with it
SAUCEPANS|Hob pots
SAXOPHONE|Jazz horn
SCAFFOLDS|Builders' frames
SCATTERED|Thrown about
SCENARIOS|What-if situations
SCHEDULED|Down for that time
SCHOLARLY|Of serious study
SCIENTIST|Lab coat wearer
SCRAMBLED|Kind of eggs
SCREAMING|Shrieking
SCULPTORS|Chisel workers
SCULPTURE|Statue
SEAFARING|Of life at sea
SEARCHING|Looking hard
SEASONING|Salt and pepper
SECONDARY|Not the main one
SECRETARY|The one who takes the minutes
SECRETIVE|Not saying much
SEEMINGLY|By the look of it
SELECTING|Picking out
SELECTION|What is on offer
SENSATION|A real stir, or a feeling
SENSITIVE|Easily hurt
SEPARATED|Kept apart
SERGEANTS|Three-stripe ranks
SERIOUSLY|No joking
SERVICING|Giving it the once over
SEVENTEEN|Between sixteen and eighteen
SEVERANCE|Payoff on leaving
SHADOWING|Following close
SHAMPOOED|Washed the hair
SHATTERED|Broken to bits
SHEEPSKIN|Woolly hide
SHELTERED|Out of the weather
SHEPHERDS|Flock keepers
SHIPWRECK|What the divers found
SHOEMAKER|Cobbler
SHORTAGES|Empty shelves
SHORTHAND|Quick note-taking
SHORTNESS|Lack of height
SHOULDERS|Where the weight sits
SHOWERING|Under the water
SHRUBBERY|Garden bushes
SIDEBOARD|Dining room cabinet
SIDEWALKS|Where you walk in town
SIGNATURE|Your name on the line
SIMILARLY|In the same way
SINCERELY|Yours
SITUATION|How things stand
SIXTEENTH|Sweet birthday
SKELETONS|In the closet
SKETCHING|Roughing it out in pencil
SLEEPLESS|Up all night
SMOOTHEST|Silkiest of all
SNOWFLAKE|No two alike
SNOWSTORM|Winter blow
SOFTENING|Taking the edge off
SOMEWHERE|Over the rainbow
SOUTHEAST|Between south and east
SOUTHWEST|Between south and west
SOUVENIRS|Holiday keepsakes
SPACESHIP|Interstellar craft
SPARKLING|Fizzy, of water
SPECIALTY|What the house does best
SPECIMENS|Lab samples
SPECTACLE|Quite a sight
SPECTATOR|One in the stands
SPELLINGS|How words are set down
SPHERICAL|Ball-shaped
SPIDERWEB|Corner catcher
SPLINTERS|Bits in the finger
SPOKESMAN|The one who speaks for them
SPONSORED|Backed with money
SPOTLIGHT|Where the star stands
SPRINKLED|Scattered lightly
SQUIRRELS|Nut hoarders
STABILITY|Steadiness
STAGGERED|Reeled, or spread out in time
STAIRCASE|Flight of steps
STATEMENT|What the bank sends
STATISTIC|One number in the table
STEADFAST|Not shifting an inch
STEAMBOAT|Paddle-wheeled river ride
STIMULATE|Get it going
STOCKINGS|Christmas hangers
STOREROOM|Where the stock sits
STORMIEST|Roughest of all
STORYBOOK|Like a perfect ending
STRAINING|Pushing hard, or filtering
STRANGERS|Ones you don't know
STRATEGIC|Well planned out
STREAMING|Watching online
STRENGTHS|Your strong points
STRESSFUL|Hard on the nerves
STRETCHED|Pulled out
STRICTEST|Least lenient of all
STRUCTURE|How it is built
STRUGGLED|Had a hard time of it
STUDIOUS|Given to the books
SUBMITTED|Handed it in
SUBSIDIES|Government top-ups
SUBSTANCE|The stuff of it
SUCCEEDED|Pulled it off
SUCCESSES|Wins
SUFFERING|Going through it
SUGGESTED|Put it forward
SUITCASES|Holiday packers
SUNFLOWER|Van Gogh's yellow subject
SUPERVISE|Keep an eye on the work
SUPPLYING|Providing
SUPPORTED|Backed up
SUPPORTER|Fan
SURPRISED|Taken aback
SURPRISES|Unexpected turns
SURRENDER|Put your hands up
SURVIVORS|Ones who made it
SUSPECTED|Had a hunch about
SUSPENDED|Hung, or put on hold
SUSPICION|A nagging doubt
SUSTAINED|Kept it up
SWEETNESS|Sugary quality
SWIMSUITS|Beach wear
TANGERINE|Easy-peel citrus
TEACHINGS|What was passed on
TECHNICAL|Of the nuts and bolts
TECHNIQUE|How it is done
TELEGRAPH|Old wire message
TELEPHONE|Ring it
TELESCOPE|Star viewer
TELEVISED|Put on the air
TEMPERATE|Neither too hot nor too cold
TEMPORARY|Just for now
TERRIFIED|Scared stiff
TERRITORY|Ground you hold
TESTAMENT|Old or New
TEXTBOOKS|Class reading
THEREFORE|And so
THICKNESS|How deep it goes
THOUSANDS|A great many
TIGHTENED|Given a turn
TIMEPIECE|Watch or clock
TIMETABLE|The schedule
TOLERANCE|Putting up with it
TOMORROWS|Days ahead
TOOTHACHE|Dentist call
TOOTHPICK|After-dinner sliver
TORNADOES|Twisters
TOWNHOUSE|City terrace home
TRADEMARK|The little R in a circle
TRADITION|The way it's always done
TRAINLOAD|A whole lot of freight
TRANSFERS|Moves across
TRANSFORM|Change it utterly
TRANSPORT|Getting it there
TRAVELERS|Ones on the road
TRAVELING|On the move
TREASURED|Held very dear
TREASURER|Club's money keeper
TREATMENT|What the doctor orders
TREMBLING|Shaking
TRIANGLES|Three-sided shapes
TRIBUNALS|Hearing panels
TRIUMPHED|Came out on top
TRUCKLOAD|A whole lot of it
TURBULENT|Bumpy, in the air
TURNTABLE|Where the record spins
TWENTIETH|Century of two world wars
UMBRELLAS|Rainy day carries
UNANIMOUS|Everyone agreed
UNCERTAIN|Not sure at all
UNCHANGED|Exactly as it was
UNCOVERED|Took the lid off
UNDERGONE|Been through it
UNDERLINE|Draw a line beneath
UNDERMINE|Chip away at it
UNDERTAKE|Take the job on
UNDERWEAR|Bottom drawer
UNFOLDING|Opening out
UNHAPPILY|Sadly
UNIVERSAL|True everywhere
UNIVERSES|Whole realities
UNLIMITED|As much as you like
UNUSUALLY|Not as a rule
UPHOLSTER|Recover the sofa
UTTERANCE|Something said aloud
VACATIONS|Holidays
VACCINATE|Give the jab
VALENTINE|February card
VALUATION|What the surveyor says
VARIATION|A slight difference
VEGETABLE|Carrot or pea
VENTILATE|Let the air in
VIBRATION|A steady buzz
VIEWPOINT|Where you stand on it
VIOLATION|Breaking the rule
VISIONARY|One who sees ahead
VOLCANOES|Etna and Fuji
VOLUNTARY|Nobody made you
VOLUNTEER|One who steps forward
WAREHOUSE|Where the stock sits
WASHBASIN|Bathroom bowl
WASHCLOTH|Flannel
WATCHDOGS|Regulators
WATERFALL|Niagara, for one
WEAKENING|Losing strength
WEALTHIER|Better off
WEATHERED|Worn by the years
WEDNESDAY|Midweek day
WEIGHTIER|Carrying more heft
WELCOMING|Glad to see you
WHIRLPOOL|Swirling water
WHIRLWIND|A very fast romance
WHISPERED|Said under the breath
WHISTLING|Puckering up a tune
WHOLESALE|Sold by the crate
WHOLESOME|Good for you
WILLINGLY|Without being asked twice
WINDSTORM|A right blow
WINEGLASS|Stemmed drinker
WITHDRAWN|Taken out, or gone quiet
WITHERING|Drying up, or of a look
WITNESSED|Saw it happen
WITNESSES|Ones in the box
WOMANHOOD|Grown-up years for her
WONDERFUL|Absolutely lovely
WOODLANDS|Forests
WORKBENCH|Where the vise is
WORKFORCE|All the staff
WORKSHOPS|Where the benches are
WORLDWIDE|All over the globe
WORRISOME|Enough to fret about
WORTHLESS|Not worth a penny
YARDSTICK|What you measure against
YESTERDAY|The day before this
YOUNGSTER|A young one
#
# ── 3 and 4 letters ──────────────────────────────────────────────────────
ACE|Card above the king
ADD|Tot up
ADO|Much about nothing
AFT|Toward the stern
AGO|In the past
AHA|Cry of discovery
AID|Lend a hand
AIL|Be unwell
AIM|Point it
AIR|What you breathe
ALL|The whole lot
ALP|Swiss peak
AMP|Guitar's loudener
ANT|Picnic pest
APE|Gorilla, for one
APT|Fitting
ARC|Curved path
ARK|Noah's boat
ARM|Shoulder to hand
ART|Gallery contents
ASH|Fire's leaving
ASK|Put the question
ATE|Had dinner
AWE|Jaw-dropping wonder
AXE|Wood chopper
BAD|Not good
BAG|Grocery carrier
BAN|Forbid outright
BAR|Where the taps are
BAT|Cave flier, or a slugger's tool
BAY|Coastal inlet
BED|Where you sleep
BEE|Hive worker
BEG|Plead
BET|Wager
BID|Auction offer
BIG|Not small
BIN|Where the rubbish goes
BIT|A little
BOA|Feather scarf, or a snake
BOB|Short haircut
BOG|Marshy ground
BOO|Ghost's greeting
BOW|Violin's partner, or bend forward
BOX|Cardboard container
BOY|Lad
BRA|Undergarment
BUD|Flower to be
BUG|Beetle, or a glitch
BUN|Burger's bread
BUS|Public ride
BUT|However
BUY|Purchase
CAB|Yellow ride
CAD|Ungentlemanly sort
CAN|Tin
CAP|Baseball headwear
CAR|Four wheels
CAT|Mouser
COB|Corn's core
COD|Fish and chips fish
COG|Wheel tooth
CON|Swindle
COO|Pigeon sound
COP|Officer
COT|Camp bed
COW|Milk giver
COY|Playfully shy
CRY|Shed tears
CUB|Bear's young
CUE|Pool stick
CUP|Tea holder
CUT|Slice
DAB|Light touch
DAM|River blocker
DAY|Twenty-four hours
DEN|Study, or a lion's home
DEW|Morning damp on the grass
DID|Performed
DIG|Turn the soil
DIM|Not bright
DIN|Racket
DIP|Chip's partner
DOE|Female deer
DOG|Man's best friend
DOT|Little point
DRY|Not wet
DUE|Expected
