ABANDON|Leave behind
SCALP|Head's top
SCANT|Barely any
SCARE|Fright
SCARY|Frightening
SCOFF|Sneer at
SCOLD|Tell off
SCOOP|Ice cream server, or a story
SCOOT|Move along quickly
SCOPE|Room to work
SCORN|Contempt
SCOUR|Scrub hard
SCOWL|Angry face
SCREW|Threaded fastener
SCRUB|Wash hard
SCUBA|Diver's gear
SEDAN|Four-door car
SEEDY|Run down
SEPIA|Brownish photo tone
SERUM|Blood liquid
SETUP|The arrangement
SEWER|Underground drain
SHACK|Rough hut
SHADY|Not quite honest
SHAFT|Mine's tunnel
SHALL|Will
SHAME|Sense of disgrace
SHAWL|Shoulder wrap
SHEAR|Clip the sheep
SHEEN|Soft gloss
SHEER|Absolutely total
SHINY|Polished
SHOOK|Wobbled
SHOVE|Push hard
SHOWN|Displayed
SHOWY|Very flashy
SHRED|Tear to bits
SHRUB|Garden bush
SHRUG|Shoulders' gesture
SHYLY|Bashfully
SIEGE|Castle's long wait
SIEVE|Straining bowl
SILKY|Smooth to the touch
SIREN|Wailing alarm
SIXTH|After fifth
SKILL|Ability
SKUNK|Striped stinker
SLACK|Not taut
SLAIN|Killed
SLANG|Street talk
SLANT|Lean
SLASH|Big cut
SLATE|Roof tile
SLEEK|Smooth and glossy
SLEET|Half rain, half snow
SLEPT|Had a kip
SLICK|Smooth, or an oil spill
SLIMY|Slippery and nasty
SLING|Arm support
SLOPE|Hillside
SLOTH|Slow hanger
SLUMP|Downturn
SLUSH|Melting snow
SMACK|Sharp slap
SMASH|Break to bits
SMEAR|Smudge
SMIRK|Smug little smile
SMOCK|Loose overshirt
SNAIL|Slow shell carrier
SNARE|Trap, or a drum
SNARL|Dog's growl, or a tangle
SNEAK|Move unseen
SNEER|Look down on
SNIFF|Take a smell
SNORE|Sleeper's sound
SNORT|Sharp nasal noise
SNOUT|Pig's nose
SNOWY|Covered in white
SNUCK|Crept quietly
SOAPY|Full of suds
SOBER|Not drunk
SOGGY|Wet through
SOLAR|Of the sun
SONIC|Of sound
SORRY|Apologetic
SPADE|Digging tool
SPASM|Sudden twitch
SPAWN|Fish's eggs
SPEAR|Thrown weapon
SPECK|Tiny spot
SPENT|Used up
SPIKE|Sharp point
SPILL|Knock the drink over
SPIRE|Church's point
SPITE|Ill will
SPLIT|Divide
SPOIL|Ruin
SPOOF|Send up
SPOOK|Ghost
SPOOL|Thread holder
SPOUT|Teapot's pourer
SPRIG|Small twig
SPURT|Sudden burst
SQUAT|Crouch down
SQUID|Ten armed sea creature
STAIN|Spill's mark
STALE|Not fresh
STASH|Hide it away
STEER|Guide the wheel
STERN|Strict, or a ship's back
STIFF|Not bending
STINT|Spell of work
STOMP|Heavy step
STOOD|Was on the feet
STOOP|Bend forward
STORK|Baby deliverer, in stories
STOUT|Dark beer, or sturdy
STRAY|Wandering animal
STRUM|Play a guitar
STRUT|Swagger
STUCK|Not budging
STUFF|Things
STUMP|Tree's remains
STUNG|Got the bee
STUNT|Daredevil act
SUAVE|Smooth and polished
SUEDE|Soft leather
SULKY|Silently cross
SURGE|Sudden rush
SURLY|Bad tempered
SWAMP|Bog
SWARM|Bees on the move
SWEAR|Take the oath
SWELL|Rise up
SWIRL|Whirl about
SWORD|Knight's blade
SWORE|Took the oath
SWORN|Under oath
SYRUP|Pancake topper
TACKY|A bit cheap-looking
TAFFY|Pulled candy
TALLY|Running count
TALON|Eagle's claw
TANGO|Two to
TANGY|Sharply flavored
TAPER|Narrow to a point
TARDY|Late
TASTY|Delicious
TAUNT|Jeer at
TAWNY|Golden brown
TEDDY|Stuffed bear
TEMPT|Lure
TENOR|High male singer
TENSE|Wound up
TENTH|After ninth
TEPID|Lukewarm
TERSE|Short and to the point
THEFT|Stealing
THORN|Rose's prick
THOSE|The far ones
THREW|Pitched
TIARA|Princess's headwear
TIDAL|Of the sea's rise
TIMID|Shy
TINGE|Slight trace of color
TIPSY|A bit merry
TIRED|Ready for bed
TOKEN|Arcade coin
TONIC|Gin's partner
TOPAZ|Yellow gem
TORSO|Trunk of the body
TOTEM|Carved pole
TOXIC|Poisonous
TOXIN|Harmful substance
TRACE|Faint mark
TRACT|Stretch of land
TRAIT|Characteristic
TRAMP|Wanderer
TRASH|Rubbish
TRAWL|Drag the net
TREAD|Step on
TRIED|Gave it a go
TRITE|Overused
TROLL|Bridge dweller
TROOP|Soldiers' unit
TROUT|Stream fish
TRUCE|Ceasefire
TRULY|Yours
TUMMY|Belly
TUNIC|Long loose top
TURBO|Engine booster
TUTOR|Private teacher
TWANG|Guitar string's sound
TWEAK|Small adjustment
TWEED|Country jacket cloth
TWEET|Bird's chirp
TWINE|String
TWINS|Two born at once
TWIRL|Spin around
ULCER|Stomach sore
UNDUE|More than warranted
UNFIT|Not up to it
UNITY|Oneness
UNTIE|Undo the knot
UNZIP|Open the fastener
UPSET|Put out
USAGE|How it is used
USHER|Show to the seat
UTTER|Complete, or say
VAGUE|Not clear
VALET|Parking attendant
VALID|It holds up
VALVE|Flow controller
VAULT|Bank's strongroom
VEGAN|Eater of no animal food
VENOM|Snake's poison
VENUE|Where it's held
VERGE|Roadside edge
VERSE|Poem's stanza
VIGIL|Night's watch
VIGOR|Real energy
VILLA|Holiday house
VINYL|Record material
VIOLA|Viola's bigger cousin
VIPER|Poisonous snake
VISOR|Cap's brim
VISTA|Sweeping view
VIVID|Bright and clear
VOWEL|A, E, I, O or U
WACKY|Zany
WAFER|Thin biscuit
WALTZ|Three-time dance
WEAVE|Work the loom
WEDGE|Doorstop shape
WEIGH|Put on the scales
WEIRD|Strange
WHACK|Hard blow
WHARF|Dock
WHIFF|Faint smell
WHINE|Complain thinly
WHIRL|Spin
WHISK|Egg beater
WHOSE|Belonging to whom
WIDEN|Make broader
WIDOW|She who lost a husband
WIELD|Swing it
WINDY|Blustery
WITCH|Broom rider
WITTY|Quick with a line
WOODS|Forest
WORDS|Vocabulary items
WOVEN|Made on a loom
WRATH|Great anger
WRECK|Ruin
WRING|Twist water out of
YEARN|Long for
YODEL|Alpine warble
YUMMY|Delicious to a child
ZESTY|Full of tang
